index,gender,industry,pay
1,1,A,50000
2,1,A,50200
3,1,A,50400
4,1,A,50600
5,1,A,50800
6,1,A,51000
7,1,A,51200
8,1,A,51400
9,1,A,51600
10,1,A,51800
11,1,A,52000
12,1,A,52200
13,1,A,52400
14,1,A,52600
15,1,A,52800
16,0,A,47500
17,0,A,47690
18,0,A,47880
19,0,A,48070
20,0,A,48260
21,0,A,48450
22,0,A,48640
23,0,A,48830
24,0,A,49020
25,0,A,49210
26,0,A,49400
27,0,A,49590
28,0,A,49780
29,0,A,49970
30,0,A,50160
31,1,B,30000
32,1,B,30100
33,1,B,30200
34,1,B,30300
35,1,B,30400
36,1,B,30500
37,1,B,30600
38,1,B,30700
39,1,B,30800
40,1,B,30900
41,1,B,31000
42,1,B,31100
43,1,B,31200
44,1,B,31300
45,1,B,31400
46,0,B,27000
47,0,B,27090
48,0,B,27180
49,0,B,27270
50,0,B,27360
51,0,B,27450
52,0,B,27540
53,0,B,27630
54,0,B,27720
55,0,B,27810
56,0,B,27900
57,0,B,27990
58,0,B,28080
59,0,B,28170
60,0,B,28260
61,1,C,70000
62,1,C,70300
63,1,C,70600
64,1,C,70900
65,1,C,71200
66,1,C,71500
67,1,C,71800
68,1,C,72100
69,1,C,72400
70,1,C,72700
71,1,C,73000
72,1,C,73300
73,1,C,73600
74,1,C,73900
75,1,C,74200
76,0,C,56000
77,0,C,56240
78,0,C,56480
79,0,C,56720
80,0,C,56960
81,0,C,57200
82,0,C,57440
83,0,C,57680
84,0,C,57920
85,0,C,58160
86,0,C,58400
87,0,C,58640
88,0,C,58880
89,0,C,59120
90,0,C,59360
